function,payroll,emp,freed,share_goes,lo,hi,reprice_modelled,roles,blocked_by_verifier_usd,blocked_tasks
Sales,481844376300.0,5054880.0,126239445445.1086,0.262,0.0897,0.6036,1.1168,17,36714404887.84143,43
Finance,608069343500.0,6924280.0,125696600075.98067,0.2067,0.0495,0.5023,1.0937,26,35699238905.51135,52
IT & software,676966541800.0,5401030.0,88633555205.10965,0.1309,0.019,0.5372,1.0573,16,50529306870.29123,45
Customer support,173642660100.0,3965580.0,86624795692.92159,0.4989,0.2099,0.916,1.2363,4,47600336429.48831,17
Admin,432108601500.0,8192000.0,84745477248.53008,0.1961,0.0746,0.6612,1.086,22,96538258332.59521,69
Education,556138554800.0,7553460.0,78634146392.7814,0.1414,0.0267,0.4457,1.0602,62,55451047503.99166,184
Clinical,1055984727800.0,9857040.0,74226641263.21895,0.0703,0.0079,0.2914,1.0315,70,40120782732.88753,78
Executive,534548729900.0,3821630.0,53399341790.14344,0.0999,0.0,0.2833,1.0417,3,119087340.0,2
Operations,508238582800.0,4655640.0,51448936518.932236,0.1012,0.0244,0.4431,1.0423,21,45308165725.59767,56
Supply chain,169580373000.0,2830570.0,48576604887.01342,0.2865,0.1157,0.5363,1.1292,14,11187768063.775467,28
Retail front line,327952548800.0,8721920.0,39762577667.22453,0.1212,0.0247,0.4298,1.0517,6,54652614032.89245,12
People,167260245200.0,1877200.0,31201270031.785194,0.1865,0.058,0.5255,1.0861,8,15600784096.995676,17
Engineering,295341939400.0,2692950.0,23561227196.823742,0.0798,0.0065,0.3923,1.0393,36,16605778515.818506,83
Marketing,212516960200.0,2038350.0,22022130748.79113,0.1036,0.0121,0.5282,1.0444,13,23185262739.879982,67
Social services,134599047800.0,2076350.0,15881071004.720083,0.118,0.0104,0.4415,1.0601,13,11909249505.863256,20
Claims & underwriting,45895195800.0,641360.0,13901326307.721949,0.3029,0.1053,0.8689,1.1421,4,9266864119.886992,11
Research,124530384300.0,1385140.0,11237660385.348719,0.0902,0.0161,0.3328,1.0537,47,8067822473.18415,77
Data & analytics,46863950800.0,399700.0,11029543647.81312,0.2354,0.0301,0.6281,1.1137,6,3024314849.5123672,11
Legal & compliance,203072821000.0,1609150.0,10460653765.18141,0.0515,0.004,0.3577,1.0662,8,6166127641.819905,17
Procurement,51412103200.00001,561180.0,9407985122.349297,0.183,0.0114,0.5051,1.079,4,1769698292.2264836,3
Creative,92341058000.0,1273500.0,7785435710.985916,0.0843,0.0399,0.5073,1.0383,24,20714303277.269634,97
Strategy,101440480400.0,888200.0,0.0,0.0,0.0,0.5114,,1,0.0,0
